SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,DEMOGRAPHIC,SUPPRESSED,DROPOUT RATE
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",All Students,N,0.3
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Female,N,0.3
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Male,N,0.3
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",African American,N,0.0
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",American Indian or Alaska Native,Y,""
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Asian,Y,""
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Hispanic or Latino,N,0.0
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Native Hawaiian or Pacific Islander,Y,""
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Two or More Races,N,1.6
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",White (non-Hispanic),N,0.3
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Economically Disadvantaged,N,0.4
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Non-Economically Disadvantaged,N,0.2
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Students with Disabilities (IEP),N,0.0
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Students without IEP,N,0.4
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",English Learner,N,0.0
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Non-English Learner,N,0.3
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Homeless,N,0.0
20222023,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",Migrant,Y,""
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,All Students,N,0.4
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Female,N,0.3
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Male,N,0.5
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,African American,N,0.0
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,American Indian or Alaska Native,Y,""
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Asian,Y,""
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Hispanic or Latino,N,0.0
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Native Hawaiian or Pacific Islander,Y,""
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Two or More Races,N,2.5
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,White (non-Hispanic),N,0.3
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Economically Disadvantaged,N,0.4
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Non-Economically Disadvantaged,N,0.3
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Students with Disabilities (IEP),N,0.0
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Students without IEP,N,0.4
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,English Learner,N,0.0
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Non-English Learner,N,0.4
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Homeless,Y,""
20222023,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,Migrant,Y,""
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,All Students,N,0.2
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Female,N,0.4
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Male,N,0.0
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,African American,Y,""
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,American Indian or Alaska Native,Y,""
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Asian,Y,""
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Hispanic or Latino,N,0.0
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Native Hawaiian or Pacific Islander,Y,""
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Two or More Races,N,0.0
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,White (non-Hispanic),N,0.3
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Economically Disadvantaged,N,0.3
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Non-Economically Disadvantaged,N,0.0
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Students with Disabilities (IEP),N,0.0
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Students without IEP,N,0.3
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,English Learner,Y,""
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Non-English Learner,N,0.2
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Homeless,Y,""
20222023,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,Migrant,Y,""
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",All Students,N,1.4
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",Female,N,1.4
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",Male,N,1.4
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",African American,N,0.0
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",American Indian or Alaska Native,Y,""
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",Asian,Y,""
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",Hispanic or Latino,N,2.6
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",Native Hawaiian or Pacific Islander,Y,""
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",Two or More Races,N,3.0
20222023,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",White (non-Hispanic),N,1.4
