SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,DEMOGRAPHIC,TOTAL STUDENT COUNT,PRESCHOOL COUNT,KINDERGARTEN COUNT,GRADE1 COUNT,GRADE2 COUNT,GRADE3 COUNT,GRADE4 COUNT,GRADE5 COUNT,GRADE6 COUNT,GRADE7 COUNT,GRADE8 COUNT,GRADE9 COUNT,GRADE10 COUNT,GRADE11 COUNT,GRADE12 COUNT,GRADE14 COUNT
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",All Students,1055,0,0,0,0,0,0,0,0,0,0,291,255,227,282,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Female,609,0,0,0,0,0,0,0,0,0,0,170,142,137,160,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Male,446,0,0,0,0,0,0,0,0,0,0,121,113,90,122,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",African American,33,0,0,0,0,0,0,0,0,0,0,8,8,10,7,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",American Indian or Alaska Native,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Asian,27,0,0,0,0,0,0,0,0,0,0,6,7,5,9,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Hispanic or Latino,75,0,0,0,0,0,0,0,0,0,0,26,16,14,19,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Native Hawaiian or Pacific Islander,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Two or More Races,32,0,0,0,0,0,0,0,0,0,0,10,11,4,7,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",White (non-Hispanic),885,0,0,0,0,0,0,0,0,0,0,239,213,194,239,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Consolidated Student Group,"","","","","","","","","","","","","","","",""
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Economically Disadvantaged,314,0,0,0,0,0,0,0,0,0,0,104,72,62,76,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Students with Disabilities (IEP),66,0,0,0,0,0,0,0,0,0,0,13,16,12,25,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",English Learner,7,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Foster Care,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Gifted and Talented,307,0,0,0,0,0,0,0,0,0,0,66,90,62,89,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Homeless,10,0,0,0,0,0,0,0,0,0,0,2,1,3,4,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Migrant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",Military Dependent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20222023,008,BOONE,035,Boone County,160,Ignite Institute,035160,008035160,"",NKCES,905,A2,All Students,1056, , , , , , , , , , ,291,255,228,282, 
20222023,008,BOONE,035,Boone County,160,Ignite Institute,035160,008035160,"",NKCES,905,A2,Female,610, , , , , , , , , , ,170,142,138,160, 
20222023,008,BOONE,035,Boone County,160,Ignite Institute,035160,008035160,"",NKCES,905,A2,Male,446, , , , , , , , , , ,121,113,90,122, 
20222023,008,BOONE,035,Boone County,160,Ignite Institute,035160,008035160,"",NKCES,905,A2,African American,33, , , , , , , , , , ,8,8,10,7, 
20222023,008,BOONE,035,Boone County,160,Ignite Institute,035160,008035160,"",NKCES,905,A2,American Indian or Alaska Native,2, , , , , , , , , , ,1,0,0,1, 
20222023,008,BOONE,035,Boone County,160,Ignite Institute,035160,008035160,"",NKCES,905,A2,Asian,27, , , , , , , , , , ,6,7,5,9, 
20222023,008,BOONE,035,Boone County,160,Ignite Institute,035160,008035160,"",NKCES,905,A2,Hispanic or Latino,75, , , , , , , , , , ,26,16,14,19, 
