School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Demographic,Suppressed,Dropout Rate
20242025,,,999,All Districts,,All Schools,999000,,,,,,All Students,N,1.1
20242025,,,999,All Districts,,All Schools,999000,,,,,,Female,N,0.9
20242025,,,999,All Districts,,All Schools,999000,,,,,,Male,N,1.3
20242025,,,999,All Districts,,All Schools,999000,,,,,,African American,N,2.0
20242025,,,999,All Districts,,All Schools,999000,,,,,,American Indian or Alaska Native,N,2.0
20242025,,,999,All Districts,,All Schools,999000,,,,,,Asian,N,0.6
20242025,,,999,All Districts,,All Schools,999000,,,,,,Hispanic or Latino,N,2.6
20242025,,,999,All Districts,,All Schools,999000,,,,,,Native Hawaiian or Pacific Islander,N,1.1
20242025,,,999,All Districts,,All Schools,999000,,,,,,Two or More Races,N,1.0
20242025,,,999,All Districts,,All Schools,999000,,,,,,White (non-Hispanic),N,0.8
20242025,,,999,All Districts,,All Schools,999000,,,,,,Economically Disadvantaged,N,1.3
20242025,,,999,All Districts,,All Schools,999000,,,,,,Non Economically Disadvantaged,N,0.8
20242025,,,999,All Districts,,All Schools,999000,,,,,,Students with Disabilities (IEP),N,1.3
20242025,,,999,All Districts,,All Schools,999000,,,,,,Student without Disabilities (IEP),N,1.1
20242025,,,999,All Districts,,All Schools,999000,,,,,,English Learner,N,4.5
20242025,,,999,All Districts,,All Schools,999000,,,,,,Non English Learner,N,0.9
20242025,,,999,All Districts,,All Schools,999000,,,,,,Homeless,N,2.8
20242025,,,999,All Districts,,All Schools,999000,,,,,,Migrant,N,2.3
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,All Students,N,0.2
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Female,N,0.0
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Male,N,0.4
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,African American,N,0.0
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,American Indian or Alaska Native,, 
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Asian,Y, *
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Hispanic or Latino,N,1.3
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Native Hawaiian or Pacific Islander,Y, *
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Two or More Races,N,0.0
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,White (non-Hispanic),N,0.2
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Economically Disadvantaged,N,0.4
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Non Economically Disadvantaged,N,0.0
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Students with Disabilities (IEP),N,0.0
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Student without Disabilities (IEP),N,0.3
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,English Learner,N,0.0
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Non English Learner,N,0.2
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Homeless,Y, *
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Migrant,N,0.0
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,All Students,N,0.4
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Female,N,0.0
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Male,N,0.7
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,African American,N,0.0
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,American Indian or Alaska Native,, 
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Asian,Y, *
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Hispanic or Latino,N,2.0
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Native Hawaiian or Pacific Islander,Y, *
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Two or More Races,N,0.0
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,White (non-Hispanic),N,0.3
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Economically Disadvantaged,N,0.6
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Non Economically Disadvantaged,N,0.0
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Students with Disabilities (IEP),N,0.0
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Student without Disabilities (IEP),N,0.4
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,English Learner,Y, *
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Non English Learner,N,0.4
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Homeless,Y, *
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Migrant,Y, *
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,All Students,N,0.0
