School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Demographic,All Grades,Preschool,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Grade 14
20242025,,,999,All Districts,,All Schools,999000,,,,,,All Students,"682,013","30,754","48,202","49,841","50,364","52,070","48,738","49,560","49,769","46,432","49,550","53,534","52,960","50,359","49,243",637
20242025,,,999,All Districts,,All Schools,999000,,,,,,Female,"329,446","13,622","23,350","24,128","24,665","25,282","23,756","23,962","24,123","22,344","23,977","25,521","25,714","24,749","24,036",217
20242025,,,999,All Districts,,All Schools,999000,,,,,,Male,"352,567","17,132","24,852","25,713","25,699","26,788","24,982","25,598","25,646","24,088","25,573","28,013","27,246","25,610","25,207",420
20242025,,,999,All Districts,,All Schools,999000,,,,,,African American,"74,518","3,372","5,248","5,308","5,330","5,435","5,271","5,275","5,364","4,799","5,480","6,238","6,143","5,663","5,493",99
20242025,,,999,All Districts,,All Schools,999000,,,,,,American Indian or Alaska Native,932,49,64,81,61,71,47,83,64,60,60,67,79,68,76,2
20242025,,,999,All Districts,,All Schools,999000,,,,,,Asian,"14,906",601,"1,034","1,117","1,204","1,209","1,157","1,163","1,159","1,123","1,079","1,093","1,006",976,964,21
20242025,,,999,All Districts,,All Schools,999000,,,,,,Hispanic or Latino,"72,739","3,215","5,421","5,542","5,382","5,580","5,158","5,252","5,208","4,821","5,254","6,025","5,721","5,214","4,892",54
20242025,,,999,All Districts,,All Schools,999000,,,,,,Native Hawaiian or Pacific Islander,"1,362",35,120,109,105,127,83,104,89,94,106,117,95,98,78,2
20242025,,,999,All Districts,,All Schools,999000,,,,,,Two or More Races,"37,714","2,043","3,095","3,152","3,060","3,087","2,826","2,803","2,746","2,480","2,546","2,748","2,603","2,290","2,211",24
20242025,,,999,All Districts,,All Schools,999000,,,,,,White (non-Hispanic),"479,842","21,439","33,220","34,532","35,222","36,561","34,196","34,880","35,139","33,055","35,025","37,246","37,313","36,050","35,529",435
20242025,,,999,All Districts,,All Schools,999000,,,,,,Economically Disadvantaged,"420,976","22,090","32,075","32,565","32,642","33,687","30,824","31,040","30,683","28,080","29,727","32,215","30,716","27,918","26,326",388
20242025,,,999,All Districts,,All Schools,999000,,,,,,Students with Disabilities (IEP),"122,118","14,722","11,606","11,296","10,566","10,098","9,243","8,704","7,859","6,686","6,738","6,912","6,340","5,649","5,069",630
20242025,,,999,All Districts,,All Schools,999000,,,,,,English Learner,"54,175",1,"5,811","5,852","5,714","5,548","4,774","3,867","3,221","3,179","3,390","4,009","3,526","2,720","2,517",46
20242025,,,999,All Districts,,All Schools,999000,,,,,,Foster Care,"7,798",506,533,540,538,474,423,441,472,479,613,743,802,689,522,23
20242025,,,999,All Districts,,All Schools,999000,,,,,,Gifted and Talented,"91,753",0,"2,803","6,188","8,225","9,396","5,373","7,084","7,524","7,039","7,387","7,489","7,988","7,705","7,551",1
20242025,,,999,All Districts,,All Schools,999000,,,,,,Homeless,"21,451",799,"1,790","1,876","1,831","1,889","1,592","1,650","1,535","1,394","1,399","1,563","1,457","1,269","1,394",13
20242025,,,999,All Districts,,All Schools,999000,,,,,,Migrant,"4,050",249,322,349,334,349,292,264,313,280,289,323,286,197,203,0
20242025,,,999,All Districts,,All Schools,999000,,,,,,Military Dependent,"3,430",109,264,316,299,307,258,265,249,236,229,234,244,232,188,0
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,All Students,"3,080",113,173,185,194,210,190,204,226,194,238,300,307,298,248,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Female,"1,342",58,79,86,94,93,90,99,109,98,99,110,108,119,100,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Male,"1,738",55,94,99,100,117,100,105,117,96,139,190,199,179,148,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,African American,213,3,4,3,3,2,4,4,4,6,13,47,56,35,29,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,American Indian or Alaska Native,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Asian,15,1,1,1,0,2,1,1,1,0,0,2,1,3,1,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Hispanic or Latino,211,4,15,15,15,13,12,15,16,17,18,19,16,25,11,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Native Hawaiian or Pacific Islander,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Two or More Races,155,7,13,10,6,13,4,13,9,7,11,14,16,16,16,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,White (non-Hispanic),"2,482",98,139,155,170,180,169,171,195,164,196,218,217,219,191,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Economically Disadvantaged,"1,975",83,130,134,143,144,144,157,152,137,145,158,151,161,136,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Students with Disabilities (IEP),571,61,54,45,59,35,36,26,29,22,38,46,58,40,22,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,English Learner,82,0,6,3,9,9,8,7,7,6,7,8,2,9,1,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Foster Care,116,0,3,4,5,0,2,5,7,4,13,22,19,24,8,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Gifted and Talented,305,0,0,26,36,38,17,35,27,18,18,18,29,18,25,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Homeless,7,0,0,1,1,0,0,0,0,1,0,1,1,0,2,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Migrant,42,3,1,0,3,3,4,6,5,3,5,4,2,2,1,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,All Students,860,,,,,,,,,,,221,210,217,212,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Female,437,,,,,,,,,,,110,108,119,100,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Male,423,,,,,,,,,,,111,102,98,112,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,African American,21,,,,,,,,,,,5,5,4,7,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Asian,5,,,,,,,,,,,1,0,3,1,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Hispanic or Latino,60,,,,,,,,,,,18,10,21,11,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Native Hawaiian or Pacific Islander,1,,,,,,,,,,,0,1,0,0,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Two or More Races,47,,,,,,,,,,,10,13,10,14,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,White (non-Hispanic),726,,,,,,,,,,,187,181,179,179,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Economically Disadvantaged,605,,,,,,,,,,,158,151,160,136,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Students with Disabilities (IEP),71,,,,,,,,,,,20,25,14,12,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,English Learner,16,,,,,,,,,,,7,1,7,1,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Foster Care,25,,,,,,,,,,,7,7,8,3,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Gifted and Talented,84,,,,,,,,,,,18,26,18,22,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Homeless,4,,,,,,,,,,,1,1,0,2,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Migrant,9,,,,,,,,,,,4,2,2,1,
20242025,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003000000,GRREC,902,A6,All Students,337,,,,,,,1,3,4,35,79,97,82,36,
20242025,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003000000,GRREC,902,A6,Male,337,,,,,,,1,3,4,35,79,97,82,36,
20242025,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003000000,GRREC,902,A6,African American,158,,,,,,,0,0,2,10,42,51,31,22,
